Test_Name,Metric,Chrome_Mean,Firefox_Mean,Chrome_Std,Firefox_Std,Normality_p,Variance_p,Mann_Whitney_p,T_Test_p,Cohens_D,Difference_%
motionmark,Energy_Joules,14700.93928471318,13774.299672444662,76.64737118665118,81.03060593380764,5.244392299081465e-05,0.5403717248192268,8.910545655474525e-07,1.2591355623246636e-29,11.8836155112939,-6.303268072347509
motionmark,Avg_Watts,46.058833298507345,43.8218103843409,0.17502053289100927,0.12715444920150967,4.985247254655181e-05,0.8132608895530975,8.910545655474525e-07,5.971440084367669e-32,13.7856641888734,-4.856881414403829
motionmark,Peak_Watts,58088.505314093054,728089.4332101558,1162.58730087345,2318668.9921130156,2.0815651468452093e-07,0.1352572650441934,0.015558621664655563,0.13514113940639003,-0.5299574971979713,1153.413957328166
motionmark,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
motionmark,Avg_RAM_GB,3.9954453771093466,4.214616656176422,0.07560465207590138,0.03502021386311641,0.008976201808650034,0.10490224540758622,8.910545655474525e-07,1.612724831059645e-11,-3.3111738863894358,5.485528104645071
motionmark,Duration_Sec,319.18543148148143,314.32818833333334,2.5894401452923352,2.149638759550223,1.8632323333843706e-07,0.8992309986065776,4.0267247222624545e-06,1.7293116465998925e-06,1.9689725646867415,-1.5217621699096548
control,Energy_Joules,449.4556163441051,450.8104419708252,1.7777710512385376,2.699432411619098,0.2303138616371297,0.22727620823046765,0.2978913961822508,0.12021404765163517,-0.6617109129141369,0.30143702235613207
control,Avg_Watts,30.355124102544167,30.4464341464195,0.11992659503766585,0.18257999313034648,0.23870573397087502,0.22417238046006396,0.2978913961822508,0.1209516653059511,-0.6603393426140962,0.3008060305300442
control,Peak_Watts,32537.353153151987,807574.7945056801,546.985624082396,2186525.171914481,1.0540468558777775e-06,0.09777395490566212,2.3919664099574146e-06,0.09700588954235198,-0.708921514880107,2381.992898145275
control,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
control,Avg_RAM_GB,3.6371881767893517,3.9425878148329883,0.09509482422526858,0.027770800517159466,0.0005591904688713208,0.12250785109582414,3.417094871367735e-07,1.3062939369693536e-09,-3.6567403391868716,8.396586131906473
control,Duration_Sec,14.806581159090905,14.80667525,0.000286930943507327,0.00023172751855847002,0.07802616190610484,0.2930906733225329,0.44683231034055626,0.41288084416093096,-0.3431794254842662,0.0006354668108952435
jetstream,Energy_Joules,1953.253921508789,3321.2331570712004,12.379329005626479,25.569104318675265,0.00012163109659878468,0.04213514224552813,1.4635067925027313e-06,2.8603805787292422e-61,-81.03685191390892,70.03591394331961
jetstream,Avg_Watts,44.67593434486587,43.600269335373554,0.1767736147358252,0.266877422415438,0.014993873541429883,0.24790579912559857,1.4635067925027313e-06,2.0302286614159665e-17,5.263229603363015,-2.4077056815173994
jetstream,Peak_Watts,77252.55474061458,77731.97067753646,432.7700881131527,1338.571727658887,0.04345452539115021,0.02246428812914248,0.289071833779181,0.09100115706318254,-0.6140695141873014,0.6205826312561237
jetstream,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
jetstream,Avg_RAM_GB,4.31295157264052,4.768568616365162,0.07474295166924151,0.05765635513659529,0.19760391501283625,0.6149834541498961,1.4635067925027313e-06,2.2833068618848033e-20,-6.44908931249482,10.563926722824277
jetstream,Duration_Sec,43.720253310344816,76.17409345454546,0.15692641811100522,0.20276177225076789,7.721556861285779e-05,0.3451524964601796,1.4635067925027313e-06,2.180055138183177e-75,-190.6924733153098,74.23067728777686
speedometer,Energy_Joules,1076.3435269869292,1498.8900985717773,210.45684150542914,43.07675249986074,1.4806247029397966e-09,0.3501637433392298,7.050631151025671e-07,1.1008143793169206e-09,-2.5083064804877386,39.2575939735251
speedometer,Avg_Watts,38.93169905350886,41.044612048221936,1.0008456669955113,0.25583455334598304,1.0844002652719373e-07,0.20222855945168475,7.684948731552629e-08,3.7004420548486713e-10,-2.619533712942329,5.4272303703186155
speedometer,Peak_Watts,52010.71793385882,54434.220395641794,760.6189809258267,1391.223222297311,0.35648671347903316,0.04471224939116383,1.048757649042724e-06,6.872455078951287e-09,-2.32406619161918,4.659621243576959
speedometer,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
speedometer,Avg_RAM_GB,4.070558480803922,4.75584735495828,0.0922833311409125,0.056557609443695346,0.1828245282363536,0.22223382605488187,7.684948731552629e-08,4.099101976115195e-27,-8.485503991842235,16.83525436094497
speedometer,Duration_Sec,27.810572884615382,36.52577425,6.808199565094116,1.2840093380176791,1.3974492023755913e-09,0.3366744992795954,7.050631151025671e-07,1.034088509068946e-05,-1.6022108558987709,31.33772684778387
