Test_Name,Metric,Chrome_Mean,Firefox_Mean,Chrome_Std,Firefox_Std,Normality_p,Variance_p,Mann_Whitney_p,T_Test_p,Cohens_D,Difference_%
jetstream,Energy_Joules,2057.650714111328,3126.2546056111655,162.45027504137997,256.82760951719075,2.0056591978670212e-07,0.20259979743081025,3.019859359162157e-11,7.053288733195261e-27,-4.97292710708899,51.93320149874676
jetstream,Avg_Watts,47.86529658641254,47.23949025199629,3.776553493168821,4.126043675315058,8.49127590612922e-07,0.8976355959464307,0.0016797555161960343,0.5424015324786604,0.15822526015152075,-1.3074322714922872
jetstream,Peak_Watts,143908.63801257274,91053.62488021598,293844.39485889557,1231.0389089908122,9.168919591274929e-12,0.3107442933793478,2.572118175546942e-07,0.3286166567813191,0.25437824155821365,-36.72817272284866
jetstream,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
jetstream,Avg_RAM_GB,9.675989748902001,9.806181366963758,0.13124608039131308,0.23563945613624457,1.0637603796228766e-07,0.12872944811700138,5.970555843419155e-05,0.010528091012947622,-0.6826169774194063,1.3455121536949757
jetstream,Duration_Sec,43.60363383333333,66.63884643333334,8.333785810478373,8.224036770606252,6.796534736234171e-09,0.6095253085885215,2.6694713877402853e-09,1.809334045274019e-15,-2.7823352371410257,52.828653428399484
control,Energy_Joules,312.96053721110025,334.24304860432943,15.665086979551578,127.53412008989213,1.866298958777514e-09,0.0795090934847753,0.0010575543184782395,0.36805229651289934,-0.2342393074536816,6.800381793463488
control,Avg_Watts,21.23816306871183,22.65095760397339,0.7226871892669064,8.429768576522816,1.3814327957265528e-09,0.05347911058683854,5.265008978704173e-05,0.3641854875204524,-0.2361501480477601,6.652150332826541
control,Peak_Watts,43741.52727364504,54658.05979446539,6913.052262982003,12991.634668983466,3.5942882174798454e-06,0.001328693536518074,0.0024993923272276816,0.00014744348890461878,-1.0490536324208275,24.95690754583627
control,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
control,Avg_RAM_GB,9.202422809429086,8.929865262369495,0.1483874496379359,0.33354845125212534,1.4394213892302687e-09,0.053860154499508275,1.0665677738596443e-07,0.00013505017955666647,1.0558481511989997,-2.961802046090737
control,Duration_Sec,14.731224766666665,14.730907583333336,0.38884518576513133,0.33854761984873394,0.0006435652876480868,0.28838111259154864,0.9351919702393391,0.9973229989198681,0.0008700326637367901,-0.0021531362011898932
motionmark,Energy_Joules,17721.29533843994,17360.916463216145,97.07504423260652,1133.8735829349673,2.5017945644114345e-11,0.33988903627595135,5.572653248454238e-10,0.08814492539495944,0.44784101736911175,-2.033592174507043
motionmark,Avg_Watts,55.44171287453435,55.37320106753649,0.2931854681929539,3.694650346597252,2.4450072402799897e-11,0.3316988432177704,1.849994079491288e-08,0.9197022170245327,0.02614231076100596,-0.12357447749297525
motionmark,Peak_Watts,100520.44141545515,87626.16717319655,29953.641440272764,10050.25737820598,2.9605084979394353e-09,0.07162687514108146,5.091173485363367e-06,0.029260083961054985,0.5771609766633139,-12.827514543998102
motionmark,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
motionmark,Avg_RAM_GB,9.459105979262862,9.103577897500374,0.02353113639985033,0.12528974550314362,0.009484916205458065,9.27017334986857e-05,5.072313498155901e-10,5.454283435869434e-22,3.944080097521142,-3.7585801717615803
motionmark,Duration_Sec,319.63925600000005,313.54791466666666,0.9126608078224714,0.8627755420763046,0.11383395237144806,0.6970879352790261,3.019859359162157e-11,3.7106876579529103e-34,6.859089370129098,-1.9056925014658987
speedometer,Energy_Joules,1172.2010630289712,1646.7440912882487,136.71788169870445,180.52410695789337,2.5860038272186344e-06,0.6227438401640571,8.993406027014868e-11,1.4697203960943105e-16,-2.9635583714636917,40.48307438256853
speedometer,Avg_Watts,42.09382987295158,49.319559925814374,3.840843136219194,5.747036683659154,1.0831082972903132e-05,0.4694061470230721,2.6784187792783593e-06,3.8456407111769506e-07,-1.478329881036915,17.165770077637585
speedometer,Peak_Watts,81217.12101930763,110375.82643280628,4237.435128423808,165992.88173481298,1.0250424997570383e-11,0.3278384206140546,0.045146208380795055,0.34012833046003516,-0.2483432209057217,35.9021657595654
speedometer,Max_Temp_C,0.0,0.0,0.0,0.0,1.0,,1.0,,0.0,
speedometer,Avg_RAM_GB,9.53399049110578,9.746679705561558,0.06635958065915044,0.27068812808313525,2.336631999408637e-06,0.03165887687695198,1.2860392091779297e-06,9.96242085508321e-05,-1.0792399134588069,2.230851967538624
speedometer,Duration_Sec,28.41486826666667,33.7243017,6.546230119253007,4.86591966105906,4.369533247147319e-07,0.4608061776924196,0.0002005814957824269,0.0007357878348898966,-0.9205628139718255,18.685405765409783
